g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P00950,COL4A3,120070,2204,,COL4A3-related Alport syndrome,104200,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0011501; HP:0000545; HP:0200020; HP:0000822; HP:0003774; HP:0000093; HP:0000790; HP:0000365; HP:0000007; HP:0003676; HP:0001425; HP:0000100; HP:0000123; HP:0000518,7987396; 7633417; 9792860; 7987301; 7780062; 7783419; 17726307; 18436078; 23297803; 23927549; 26194984; 28509228; 28856578; 29946535; 31925849; 33524082; 34888854,DD; Eye; Skin,,2025-01-27 14:54:05+00:00
G2P00956,AIPL1,604392,359,LCA4,AIPL1-related Leber congenital amaurosis,604393,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007843; HP:0007401; HP:0000543; HP:0000662; HP:0000007; HP:0000563; HP:0007688; HP:0007663; HP:0000556; HP:0012043,10873396; 10615133; 26650897,DD; Eye,,2025-01-27 10:39:54+00:00
G2P00961,GRM6,604096,4598,CSNB1B; GPRC1F; MGLU6; MGLUR6,GRM6-related congenital stationary night blindness,257270,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007984; HP:0000662; HP:0000639; HP:0007642; HP:0000007; HP:0030638; HP:0000545; HP:0012047,17405131; 16249515; 15781871,DD; Eye,,2024-08-20 16:22:22+00:00
G2P00964,SRD5A3,611715,25812,FLJ13352; SRD5A2L; SRD5A2L1,SRD5A3-related congenital disorder of glycosylation,612379,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003593; HP:0002126; HP:0000973; HP:0000572; HP:0000589; HP:0000998; HP:0000248; HP:0005280; HP:0000964; HP:0002910; HP:0000007; HP:0001320; HP:0001976; HP:0001000; HP:0003642; HP:0000639; HP:0001047; HP:0000962; HP:0001270; HP:0001249; HP:0000316; HP:0001935; HP:0000556; HP:0000369,20637498; 18271001; 30019980,DD; Eye,,2019-10-04 11:54:10+00:00
G2P00966,IARS2,612801,29685,FLJ10326,"IARS2-related cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia",616007,,biallelic_autosomal,,limited,absent gene product,,loss of function,inferred,,,25130867; 28328135,DD; Eye; Skeletal,,2023-05-24 09:07:29+00:00
G2P00968,FAM161A,613596,25808,FLJ13305; RP28,FAM161A-related retinitis pigmentosa,606068,,biallelic_autosomal,potential secondary finding,definitive,absent gene product,,loss of function,inferred,,HP:0007737; HP:0001133; HP:0000543; HP:0000662; HP:0000007; HP:0000510; HP:0000556,10507729; 20705278; 20705279; 26574802,DD; Eye,,2022-08-03 13:12:14+00:00
G2P00973,VLDLR,192977,12698,CARMQ1; CHRMQ1; VLDLRCH,"VLDLR-related cerebellar ataxia, intellectual developmental disorder, and dysequilibrium syndrome,",224050,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0009879; HP:0002465; HP:0000750; HP:0002136; HP:0001272; HP:0001347; HP:0004322; HP:0000518; HP:0002075; HP:0002080; HP:0001263; HP:0003680; HP:0000640; HP:0000007; HP:0001763; HP:0001260; HP:0001250; HP:0001252; HP:0001310; HP:0002078; HP:0002066; HP:0001302; HP:0001321; HP:0001939; HP:0001249; HP:0000486; HP:0003577,18326629; 16080122; 18043714; 34085948,DD; Eye,,2017-08-31 09:27:18+00:00
G2P00980,NMNAT1,608700,17877,LCA9; NMNAT; PNAT1,NMNAT1-related Leber congenital amaurosis ,608553,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007401; HP:0001116; HP:0000543; HP:0000550; HP:0000662; HP:0000639; HP:0001141; HP:0000505; HP:0000007; HP:0000648; HP:0000540; HP:0000613; HP:0007843; HP:0000556,12734549; 22842227; 22842230; 24830548; 22842229; 26464178; 26316326; 24940029,DD; Eye,,2017-04-20 11:49:54+00:00
G2P00987,CC2D2A,612013,29253,JBTS9; KIAA1345; MKS6,CC2D2A-related Joubert syndrome,612285,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002342; HP:0003593; HP:0000812; HP:0000204; HP:0000463; HP:0000175; HP:0002240; HP:0000589; HP:0001162; HP:0000107; HP:0008659; HP:0001425; HP:0001347; HP:0000238; HP:0000518; HP:0000083; HP:0001409; HP:0002612; HP:0000657; HP:0001263; HP:0001161; HP:0001394; HP:0002910; HP:0000007; HP:0001257; HP:0000510; HP:0001320; HP:0001762; HP:0000090; HP:0002323; HP:0001744; HP:0001250; HP:0001252; HP:0002419; HP:0006563; HP:0000639; HP:0010442; HP:0000483; HP:0002085; HP:0001251; HP:0000154; HP:0005957; HP:0002119; HP:0001510; HP:0006706; HP:0001395; HP:0000311; HP:0000272; HP:0001249; HP:0000316; HP:0000508; HP:0001408; HP:0000556,20671153; 18513680; 8862632; 19574260; 2929661; 18387594; 22246503; 18950740; 19777577; 23351400,DD; Eye,,2025-01-27 10:02:03+00:00
G2P00988,WDR19,608151,18340,CFAP66; DYF-2; FAP66; FLJ23127; IFT144; KIAA1638; NPHP13; ORF26; OSEG6; PWDMP,WDR19-related short-rib thoracic dysplasia with or without polydactyly,614376,,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0000774; HP:0003774; HP:0001773; HP:0000089; HP:0004322; HP:0000518; HP:0000219; HP:0000293; HP:0000007; HP:0000510; HP:0003259; HP:0000090; HP:0100866; HP:0003016; HP:0000545; HP:0004743; HP:0000023; HP:0000556; HP:0000093,19430947; 23559409; 23683095; 22019273,DD; Eye; Skeletal,,2023-05-24 09:07:29+00:00
G2P00995,KIF7,611254,30497,JBTS12,KIF7-related acrocallosal syndrome,200990,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000204; HP:0001182; HP:0000286; HP:0000175; HP:0001162; HP:0000589; HP:0000685; HP:0000319; HP:0008897; HP:0000143; HP:0001425; HP:0000337; HP:0005148; HP:0000207; HP:0001177; HP:0002564; HP:0007894; HP:0000322; HP:0001770; HP:0003812; HP:0002007; HP:0000006; HP:0001290; HP:0000007; HP:0002023; HP:0000269; HP:0007370; HP:0006101; HP:0000648; HP:0010576; HP:0001250; HP:0000377; HP:0000494; HP:0004209; HP:0000047; HP:0000639; HP:0009942; HP:0000365; HP:0003196; HP:0000218; HP:0000028; HP:0001510; HP:0001830; HP:0010864; HP:0001508; HP:0000194; HP:0000384; HP:0000358; HP:0000054; HP:0000256; HP:0001671; HP:0001249; HP:0000486; HP:0000233; HP:0000308; HP:0000316; HP:0001841; HP:0000343; HP:0000431; HP:0000023; HP:0001537; HP:0010066; HP:0000260,,DD; Eye; Skeletal,,2023-05-24 09:07:29+00:00
G2P01000,LTBP2,602091,6715,C14ORF141; LTBP3,"LTBP2-related microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma",251750,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001083; HP:0100693; HP:0007957; HP:0007765; HP:0008007; HP:0000007; HP:0000540; HP:0000545; HP:0000613; HP:0000485; HP:0011526; HP:0000218,20617341; 22025892; 20179738; 19656777; 19361779,DD; Eye,,2015-07-22 16:15:05+00:00
G2P01003,OTX2,600037,8522,,OTX2-related syndromic microphthalmia ,610125,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0008058; HP:0000528; HP:0000478; HP:0000175; HP:0011755; HP:0000589; HP:0004322; HP:0001388; HP:0000518; HP:0001263; HP:0003812; HP:0000482; HP:0000006; HP:0001250; HP:0000662; HP:0000824; HP:0000028; HP:0000054; HP:0000568; HP:0012503; HP:0000556,19956411; 18628516; 20396904; 19965921; 18854396; 15846561; 28388256; 27299576; 26974134,DD; Eye,,2017-08-29 11:47:35+00:00
G2P01013,FBN1,134797,3603,FBN; MASS; MFS1; OCTD; SGS; WMS,FBN1-related Marfan syndrome,154700,,monoallelic_autosomal,,definitive,absent gene product; altered gene product structure,,loss of function,inferred,,HP:0100775; HP:0000463; HP:0003088; HP:0000238; HP:0001388; HP:0008440; HP:0000490; HP:0000377; HP:0002970; HP:0001634; HP:0000405; HP:0000545; HP:0001065; HP:0000974; HP:0001249; HP:0000938; HP:0009473; HP:0001537; HP:0004927; HP:0008132; HP:0002097; HP:0000586; HP:0001371; HP:0000098; HP:0002816; HP:0002870; HP:0001263; HP:0001765; HP:0005136; HP:0001763; HP:0002107; HP:0001659; HP:0001761; HP:0000494; HP:0000767; HP:0003016; HP:0003745; HP:0007676; HP:0000028; HP:0002751; HP:0009023; HP:0000275; HP:0000316; HP:0001840; HP:0003302; HP:0000895; HP:0003199; HP:0001519; HP:0003179; HP:0000689; HP:0001653; HP:0004872; HP:0002647; HP:0000678; HP:0007800; HP:0002007; HP:0007099; HP:0003083; HP:0000501; HP:0002616; HP:0001382; HP:0001252; HP:0002857; HP:0000883; HP:0000218; HP:0001002; HP:0000272; HP:0000486; HP:0001724; HP:0001635; HP:0000252; HP:0001548; HP:0000347; HP:0000508; HP:0002650; HP:0001083; HP:0000276; HP:0000518; HP:0000541; HP:0000006; HP:0001363; HP:0003717; HP:0000268; HP:0001762; HP:0005815; HP:0000327; HP:0001166; HP:0000766; HP:0000768; HP:0002631; HP:0002020; HP:0000278; HP:0000023; HP:0000260; HP:0001704; HP:0000368; HP:0008872,8428751; 1631074; 8504310; 7611299; 21594993; 7762551; 18412115; 15032979; 15287423; 1301946; 8040326; 8430317; 8101042; 9101298; 8406497; 11175294; 10766875; 17492313; 21594992; 17366579; 11702223; 9837823; 1569206; 8136837; 9241263; 7633409; 20082464; 10441597; 7911051; 20979188; 8281141; 1852208; 16333834; 23103230; 23023332; 8071963; 17568394; 7622614; 7870075; 7915876; 7945217; 8004112; 8863159; 8882780; 9452085; 10090884; 10189089; 10364683; 10425041; 10441700; 10694921; 10721679; 10756346; 11139245; 11391655; 11453977; 11524736; 11700157; 11710961; 12161601; 12203992; 12402346; 12413333; 12446365; 12890380; 12915484; 14586646; 14695540; 15054843; 15161620; 15241795; 16220557; 16222657; 16617303; 16930007; 17189636; 17657824; 17663468; 17679947; 17701892; 37684520; 35058154,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:30+00:00
G2P01016,MAN2B1,609458,6826,LAMAN; MANB,MAN2B1-related lysosomal alpha-mannosidosis,248500,MONDO:0009561,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000574; HP:0002171; HP:0012448; HP:0003487; HP:0000286; HP:0002240; HP:0000998; HP:0001272; HP:0000337; HP:0004570; HP:0001347; HP:0000294; HP:0000546; HP:0007893; HP:0002059; HP:0002718; HP:0001263; HP:0002007; HP:0005619; HP:0001290; HP:0000007; HP:0001257; HP:0000457; HP:0000400; HP:0001260; HP:0002970; HP:0001252; HP:0002066; HP:0004313; HP:0007163; HP:0000639; HP:0000687; HP:0000943; HP:0000303; HP:0000158; HP:0001510; HP:0008850; HP:0000407; HP:0002684; HP:0005469; HP:0000768; HP:0007232; HP:0000280; HP:0000272; HP:0000256; HP:0001249; HP:0001922; HP:0007256; HP:0002980; HP:0011800; HP:0002070; HP:0003302; HP:0000885; HP:0000023; HP:0001744; HP:0000212; HP:0007772; HP:0001547,4358183; 9158146; 9758606; 22161967,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:30+00:00
G2P01024,RPGRIP1,605446,13436,CORD13; LCA6; RGI1; RPGRIP,RPGRIP1-related retinal dystrophy,608194,,biallelic_autosomal,,definitive,absent gene product; altered gene product structure,inframe_insertion; inframe_deletion; frameshift_variant; missense_variant; stop_gained,loss of function,inferred,,HP:0000608; HP:0000613; HP:0000505; HP:0000007; HP:0000551; HP:0000548; HP:0007688; HP:0007663; HP:0000556,12920076; 26992781; 37761981,DD; Eye,,2024-08-22 19:06:35+00:00
G2P01025,IGBP1,300139,5461,A4; IBP1,IGBP1-related agenesis of the corpus callosum with intellectual developmental disorder-ocular coloboma-micrognathia,300472,,monoallelic_X_hemizygous,,limited,uncertain,,undetermined,inferred,,HP:0002650; HP:0000588; HP:0000612; HP:0000475; HP:0000470; HP:0004322; HP:0000505; HP:0000348; HP:0001274; HP:0000494; HP:0000767; HP:0001419; HP:0000378; HP:0000218; HP:0000407; HP:0000256; HP:0001249; HP:0000278; HP:0000369,23871722,DD; Eye,,2015-07-22 16:15:06+00:00
G2P01034,SIX3,603714,10889,HPE2,SIX3-related holoprosencephaly,609637,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002650; HP:0006315; HP:0000601; HP:0001425; HP:0003829; HP:0001263; HP:0000006; HP:0009914; HP:0001250; HP:0001252; HP:0008501; HP:0005273; HP:0002019; HP:0001274; HP:0010626; HP:0000176; HP:0001321; HP:0003745; HP:0003828; HP:0000193; HP:0000272; HP:0001249; HP:0000835; HP:0001360; HP:0000568; HP:0000252; HP:0000873,10369266; 17001667; 19353631; 11039582; 19346217,DD; Eye,,2015-07-22 16:15:07+00:00
G2P01039,MKS1,609883,7121,BBS13; FLJ20345; MKS; POC12,MKS1-related Bardet-Biedl syndrome,615990,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000601; HP:0000612; HP:0001513; HP:0001562; HP:0000135; HP:0000180; HP:0000238; HP:0000069; HP:0002251; HP:0008734; HP:0000822; HP:0002308; HP:0000113; HP:0000007; HP:0002099; HP:0000061; HP:0003241; HP:0001007; HP:0001156; HP:0000033; HP:0001321; HP:0001251; HP:0000545; HP:0002089; HP:0001395; HP:0000054; HP:0001249; HP:0001671; HP:0001747; HP:0004639; HP:0002141; HP:0001643; HP:0001773; HP:0001162; HP:0000465; HP:0001341; HP:0001263; HP:0006487; HP:0002370; HP:0001829; HP:0001080; HP:0000668; HP:0001274; HP:0000639; HP:0006872; HP:0006267; HP:0002085; HP:0000154; HP:0000130; HP:0001195; HP:0000028; HP:0000316; HP:0001623; HP:0001408; HP:0007707; HP:0000175; HP:0000750; HP:0001539; HP:0001159; HP:0001712; HP:0000340; HP:0000678; HP:0001600; HP:0001746; HP:0000104; HP:0002023; HP:0002566; HP:0000510; HP:0000501; HP:0000483; HP:0000365; HP:0000695; HP:0000218; HP:0000137; HP:0000486; HP:0000835; HP:0000568; HP:0009466; HP:0000252; HP:0000347; HP:0001744; HP:0000556; HP:0000369; HP:0000204; HP:0001511; HP:0001305; HP:0000470; HP:0000518; HP:0005343; HP:0001883; HP:0002323; HP:0000077; HP:0009806; HP:0010442; HP:0002167; HP:0001328; HP:0000819; HP:0000256; HP:0000148; HP:0001680,17377820; 16415886,DD; Eye,,2025-01-21 22:10:47+00:00
G2P01046,CPLANE1,614571,25801,C5ORF42; FLJ13231; HUG; JBTS17,CPLANE1-related Joubert syndrome,614615,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001159; HP:0000238; HP:0002419; HP:0000657; HP:0002883; HP:0001263; HP:0006855; HP:0010442; HP:0000007; HP:0011932; HP:0001320; HP:0001251; HP:0005957; HP:0000556,22425360; 23169490; 25407461; 29605658; 33794348; 33822487; 34091942; 35092359; 35582950; 36176335; 36719180; 36789003,DD; Eye,,2010-01-01 00:00:00+00:00
G2P01051,WDPCP,613580,28027,BBS15; C2ORF86; CPLANE5; FRITZ; HFRTZ,WDPCP-related Bardet-Biedl syndrome,615992,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007707; HP:0001773; HP:0001162; HP:0000750; HP:0001513; HP:0000135; HP:0000518; HP:0001159; HP:0001712; HP:0002251; HP:0008734; HP:0000678; HP:0001263; HP:0000822; HP:0000007; HP:0002099; HP:0000510; HP:0000501; HP:0002370; HP:0001829; HP:0001080; HP:0001007; HP:0000077; HP:0000668; HP:0009806; HP:0000639; HP:0001156; HP:0000483; HP:0000365; HP:0002167; HP:0001251; HP:0000545; HP:0001328; HP:0000218; HP:0000819; HP:0000137; HP:0001395; HP:0000054; HP:0000256; HP:0001249; HP:0000486; HP:0009466; HP:0000148; HP:0002141; HP:0000556,,DD; Eye,,2025-01-21 22:11:56+00:00
G2P01053,FREM1,608944,23399,C9ORF143; C9ORF145; C9ORF154; DKFZP686M16108; FLJ25461; TILRR,FREM1-related Manitoba oculotrichoanal syndrome,248450,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001545; HP:0000579; HP:0001595; HP:0000528; HP:0000316; HP:0000568; HP:0000625; HP:0000007; HP:0002025; HP:0001539,17352387; 11332973,DD; Eye,,2017-08-27 16:02:04+00:00
G2P01057,MITF,156845,7105,BHLHE32; MI; WS2; WS2A,MITF-related Waardenburg syndrome,193510,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000430; HP:0000540; HP:0001417; HP:0001425; HP:0000664; HP:0007750; HP:0001003; HP:0001093; HP:0001100; HP:0007990; HP:0000505; HP:0000006; HP:0002216; HP:0002227; HP:0008527; HP:0002211; HP:0000639; HP:0000365; HP:0002226; HP:0001010; HP:0000613; HP:0003828; HP:0005592; HP:0000486; HP:0000431; HP:0001756; HP:0001022; HP:0007443,9158138; 8589691; 7874167; 9856573; 8490648,DD; Eye; Skin,,2024-11-07 09:26:01+00:00
G2P01060,SEC23A,610511,10701,,SEC23A-related craniolenticulosutural dysplasia,607812,,biallelic_autosomal,,limited,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,undetermined,inferred,,HP:0002650; HP:0000685; HP:0000319; HP:0005336; HP:0002299; HP:0004322; HP:0001388; HP:0008444; HP:0000219; HP:0008808; HP:0002007; HP:0000007; HP:0001763; HP:0000670; HP:0001476; HP:0000684; HP:0010695; HP:0000154; HP:0005306; HP:0000028; HP:0007648; HP:0002208; HP:0000272; HP:0000431; HP:0000336; HP:0000316; HP:0008070; HP:0000343; HP:0002868; HP:0000260,16980979,DD; Eye; Skeletal,,2023-05-24 09:07:30+00:00
G2P01063,POMT2,607439,19743,LGMD2N,POMT2-related muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies,613150,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002650; HP:0003593; HP:0002126; HP:0000204; HP:0000175; HP:0007033; HP:0001371; HP:0000540; HP:0001425; HP:0003324; HP:0002093; HP:0000238; HP:0000518; HP:0001712; HP:0003712; HP:0000659; HP:0001265; HP:0003812; HP:0000557; HP:0002803; HP:0006829; HP:0002084; HP:0002079; HP:0003307; HP:0007370; HP:0000007; HP:0003701; HP:0001250; HP:0002350; HP:0001302; HP:0003236; HP:0001321; HP:0003560; HP:0002120; HP:0009917; HP:0000545; HP:0000028; HP:0002119; HP:0000158; HP:0001270; HP:0002827; HP:0010864; HP:0001284; HP:0003828; HP:0000580; HP:0010628; HP:0007260; HP:0002187; HP:0000194; HP:0001249; HP:0003306; HP:0000486; HP:0000568; HP:0000054; HP:0002365; HP:0000252; HP:0011712,19299310; 17634419; 17923109; 15894594; 16701995; 17878207; 19138766,DD; Eye,,2019-10-04 11:36:55+00:00
G2P01065,UBE3B,608047,13478,,UBE3B-related blepharophimosis-intellectual developmental disorder,615057,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000463; HP:0004322; HP:0001601; HP:0005280; HP:0000964; HP:0000006; HP:0002079; HP:0002566; HP:0000059; HP:0000377; HP:0000581; HP:0002019; HP:0000963; HP:0000483; HP:0011968; HP:0000545; HP:0002119; HP:0001270; HP:0010864; HP:0002719; HP:0001508; HP:0001344; HP:0000316; HP:0008070; HP:0001374; HP:0000252; HP:0000347; HP:0000508; HP:0001680; HP:0000369,21567902; 23200864,DD; Eye,,2015-07-22 16:15:09+00:00
G2P01070,ALG3,608750,23056,CDGS4; D16ERTD36E; NOT56; NOT56L,ALG3-related congenital disorder of glycosylation,237128,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,,DD; Eye,,2015-07-22 16:15:09+00:00
G2P01075,ALDH1A3,600463,409,ALDH6; RALDH3,ALDH1A3-related anophthalmia/microphthalmia,,MONDO:0016764,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000541; HP:0000528; HP:0000568; HP:0000007; HP:0000589; HP:0000609,23312594; 23591992; 26873617; 23646827; 24777706; 24024553; 24568872,DD; Eye,,2017-04-24 11:38:52+00:00
G2P01086,RPE65,180069,10294,BCO3; LCA2; RD12; RP20,RPE65-related Leber congenital amaurosis,608553,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000512; HP:0000550; HP:0000618; HP:0000639; HP:0011463; HP:0000007; HP:0001141; HP:0000556,9326927; 14962443; 11095629; 9501220; 9326941; 25383945; 16518657; 15565294; 33952291; 10937591; 36004591; 31925606; 11786058; 23878505,DD; Eye,,2015-07-22 16:15:10+00:00
G2P01104,ERCC5,133530,3437,ERCM2; XPGC,"ERCC5-related xeroderma pigmentosum, group G",278780,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000707; HP:0003011; HP:0000478; HP:0040064; HP:0000518; HP:0006739; HP:0000007; HP:0001257; HP:0001337; HP:0002671; HP:0012056; HP:0001761; HP:0000924; HP:0003079; HP:0001251; HP:0001510; HP:0001574; HP:0001939; HP:0000568; HP:0001507; HP:0000252; HP:0000992; HP:0000152,9096355; 7951246; 12060391; 23255472; 11841555; 11228268; 8818951; 11219864; 698096,DD; Eye; Skin; Cancer,,2024-08-20 14:15:43+00:00
G2P01107,PRSS56,613858,39433,,PRSS56-related microphthalmia,613517,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000007; HP:0000482,21397065; 19526372,DD; Eye,,2015-07-22 16:15:11+00:00
G2P01111,MIR184,613146,31555,,MIR184-related keratoconus with cataract (EDICT syndrome),614303,,monoallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0000482; HP:0000483; HP:0000505; HP:0000006; HP:0000563; HP:0100689,21996275; 23833072; 24138095; 25373792; 27195078,DD; Eye,,2019-10-09 10:45:49+00:00
G2P01116,TYRP1,115501,12450,B-PROTEIN; CAS2; CATB; GP75; OCA3; TRP; TYRP,TYRP1-related oculocutaneous albinism,203290,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007894; HP:0000639; HP:0002297; HP:0000486; HP:0012805; HP:0000007; HP:0001010; HP:0007443; HP:0007750,19533799; 16704458; 15996218; 8651291; 9345097,DD; Eye; Skin,,2017-08-31 10:51:41+00:00
G2P01118,CSPP1,611654,26193,CSPP; CSPP-L; FLJ22490; JBTS21,CSPP1-related Joubert syndrome with or without Jeune asphyxiating thoracic dystrophy,615636,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0009932; HP:0011933; HP:0000528; HP:0007291; HP:0004719; HP:0000107; HP:0002104; HP:0000657; HP:0002094; HP:0001263; HP:0003812; HP:0002079; HP:0000007; HP:0000488; HP:0001252; HP:0001591; HP:0002085; HP:0001251; HP:0002089; HP:0003828; HP:0000407; HP:0001249; HP:0000486; HP:0002365; HP:0003577; HP:0000508; HP:0000556,24360808; 25997910; 24360803; 24360807,DD; Eye,,2024-08-20 14:06:44+00:00
G2P01126,SOX2,184429,11195,,SOX2-related microphthalmia syndromic,206900,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001643; HP:0000528; HP:0000589; HP:0003316; HP:0000609; HP:0008897; HP:0002937; HP:0004322; HP:0000921; HP:0001263; HP:0000902; HP:0002007; HP:0000006; HP:0002079; HP:0002032; HP:0002444; HP:0005815; HP:0001252; HP:0001264; HP:0001274; HP:0000047; HP:0010627; HP:0001629; HP:0001328; HP:0000028; HP:0008417; HP:0000407; HP:0002948; HP:0000054; HP:0000568; HP:0000044; HP:0000252; HP:0002510,16145681; 21919124; 16283891; 19254784; 18831064; 21326281; 15812812; 12002146; 15389708; 16932809; 12612584; 16470798; 15346919; 16543359; 17219395,DD; Eye,,2019-10-04 11:51:34+00:00
G2P01134,ERBB3,190151,3431,HER3; LCCS2,ERBB3-related lethal congenital contracture syndrome,607598,,biallelic_autosomal,,strong,uncertain,,undetermined,inferred,,HP:0001644; HP:0002878; HP:0011003; HP:0007964; HP:0001629; HP:0002804; HP:0000007; HP:0000126; HP:0003202; HP:0002304; HP:0001561; HP:0000969; HP:0000347; HP:0001558,17701904,DD; Eye,,2018-06-03 17:33:49+00:00
G2P01135,CTDP1,604927,2498,FCP1,"CTDP1-related congenital cataracts, dysmorphism and neuropathy",604168,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003593; HP:0003431; HP:0003487; HP:0008214; HP:0007178; HP:0004322; HP:0002816; HP:0008734; HP:0002059; HP:0001999; HP:0001263; HP:0000482; HP:0000007; HP:0000164; HP:0001762; HP:0007182; HP:0001761; HP:0000639; HP:0011096; HP:0008942; HP:0000786; HP:0001251; HP:0000764; HP:0002072; HP:0001270; HP:0002751; HP:0100543; HP:0001249; HP:0000815; HP:0000568; HP:0001171; HP:0000044; HP:0010620,14517542; 24690360,DD; Eye,,2015-07-22 16:15:12+00:00
G2P01139,LONP1,605490,9479,HLON; LONHS; PIM1; PRSS15,LONP1-related CODAS syndrome,600373,,biallelic_autosomal,,strong,absent gene product; altered gene product structure,frameshift_variant; stop_gained; missense_variant; inframe_deletion,loss of function,inferred,,HP:0000463; HP:0001216; HP:0010049; HP:0002944; HP:0004322; HP:0001263; HP:0003417; HP:0002079; HP:0100255; HP:0000007; HP:0100018; HP:0002682; HP:0000396; HP:0001382; HP:0001252; HP:0008619; HP:0001604; HP:0000684; HP:0003177; HP:0011994; HP:0000405; HP:0002857; HP:0002750; HP:0000682; HP:0001561; HP:0001629; HP:0009803; HP:0002119; HP:0003311; HP:0006695; HP:0000407; HP:0005281; HP:0001374; HP:0006808; HP:0003799; HP:0005792; HP:0000508; HP:0003781,25574826; 25808063; 28148925; 29408517; 36685982; 36684615; 31169704; 30997404,DD; Eye; Skeletal,,2024-09-11 13:33:07+00:00
G2P01152,ESCO2,609353,27230,EFO2; RBS,ESCO2-related Roberts syndrome,268300,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0009778; HP:0000476; HP:0000204; HP:0001511; HP:0001643; HP:0006824; HP:0000586; HP:0003616; HP:0008683; HP:0000175; HP:0007452; HP:0000057; HP:0009933; HP:0000430; HP:0008897; HP:0003982; HP:0001163; HP:0004322; HP:0009829; HP:0007330; HP:0001159; HP:0000518; HP:0000238; HP:0001239; HP:0000470; HP:0001650; HP:0000248; HP:0001263; HP:0001747; HP:0000592; HP:0000113; HP:0000007; HP:0001363; HP:0002987; HP:0000040; HP:0001250; HP:0001080; HP:0006380; HP:0000494; HP:0000625; HP:0000047; HP:0001180; HP:0001561; HP:0007759; HP:0001629; HP:0000218; HP:0001772; HP:0000028; HP:0001631; HP:0000358; HP:0003273; HP:0006466; HP:0001249; HP:0002286; HP:0000085; HP:0008070; HP:0000568; HP:0000957; HP:0000272; HP:0000316; HP:0000387; HP:0008846; HP:0003826; HP:0009466; HP:0000252; HP:0000520; HP:0000813; HP:0000347; HP:0000431; HP:0003974; HP:0000369; HP:0002645,3740099; 15821733; 495649,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:30+00:00
